,date,eb1-row,eb1-cn,eb1-in
141,2017-11-01,2017-11-01,2017-11-01,2017-11-01
142,2017-12-01,2017-12-01,2017-12-01,2017-12-01
143,2018-01-01,2018-01-01,2018-01-01,2018-01-01
144,2018-02-01,2018-02-01,2018-02-01,2018-02-01
145,2018-03-01,2018-03-01,2018-03-01,2018-03-01
146,2018-04-01,2018-04-01,2012-01-01,2012-01-01
147,2018-05-01,2018-05-01,2012-01-01,2012-01-01
148,2018-06-01,2018-06-01,2012-01-01,2012-01-01
149,2018-07-01,2018-07-01,2012-01-01,2012-01-01
150,2018-08-01,2016-05-01,2012-01-01,2012-01-01
151,2018-09-01,2016-06-01,2012-01-01,2012-01-01
152,2018-10-01,2017-04-01,2016-06-01,2016-06-01
153,2018-11-01,2017-04-01,2016-06-01,2016-06-01
154,2018-12-01,2017-07-01,2016-09-01,2016-09-01
155,2019-01-01,2017-10-01,2016-12-15,2016-12-15
156,2019-02-01,2017-12-01,2017-02-08,2017-02-08
157,2019-03-01,2018-01-01,2017-02-22,2017-02-22
158,2019-04-01,2018-02-01,2017-02-22,2017-02-22
159,2019-05-01,2018-03-01,2017-02-22,2017-02-22
160,2019-06-01,2018-04-22,2017-02-22,2015-01-01
161,2019-07-01,2018-04-22,2017-05-08,2015-01-01
162,2019-08-01,2016-07-01,2016-07-01,2015-01-01
163,2019-09-01,2017-10-01,2014-01-01,1900-01-01
164,2019-10-01,2018-04-22,2016-11-01,2015-01-01
165,2019-11-01,2018-06-01,2017-02-01,2015-01-01
166,2019-12-01,2018-07-15,2017-05-15,2015-01-01
167,2020-01-01,2018-10-01,2017-05-22,2015-01-01
168,2020-02-01,2018-12-01,2017-05-22,2015-01-01
